Date;Date de valeur;Débit;Crédit;Libellé;Solde
06/02/2026;06/02/2026;-794,22;;VIR INST SOLDE SALAIRE LAURENA;34426,32
06/02/2026;06/02/2026;-318,14;;VIR INST SOLDE SALAIRE PAUL;34108,18
06/02/2026;06/02/2026;-403,28;;VIR INST SOLDE SALAIRE POLAR;33704,90
06/02/2026;06/02/2026;-391,16;;VIR INST SOLDE SALAIRE LOUISE;33313,74
06/02/2026;06/02/2026;-441,08;;VIR INST SOLDE SALAIRE RED;32872,66
06/02/2026;06/02/2026;;294,75;VIR PAYPAL PTE. LTD.;33167,41
08/02/2026;08/02/2026;-2217,50;;VIR INST FORMATION EM POLAR;30949,91
08/02/2026;08/02/2026;-750,00;;VIR INST FORMATION E2SE LUCIE;30199,91
09/02/2026;09/02/2026;-31,80;;PRLV SEPA INEXWEB;30168,11
09/02/2026;10/02/2026;;847,52;REMCB00305 NB0020 TPE279911801;31015,63
09/02/2026;10/02/2026;;1226,80;REMCB00071 NB0021 TPE279911801;32242,43
09/02/2026;10/02/2026;;632,60;REMCB00121 NB0007 TPE279911801;32875,03
09/02/2026;10/02/2026;-2,54;;COMCB00121 NB0007 TPE279911801;32872,49
09/02/2026;10/02/2026;-3,42;;COMCB00305 NB0020 TPE279911801;32869,07
09/02/2026;10/02/2026;-4,94;;COMCB00071 NB0021 TPE279911801;32864,13
09/02/2026;09/02/2026;;283,94;VIR PAYPAL PTE. LTD.;33148,07
09/02/2026;09/02/2026;-74,24;;PAIEMENT CB MAGASIN U STATIO;33073,83
09/02/2026;09/02/2026;-17,52;;PAIEMENT CB 3MINUTESPIZZ;33056,31
09/02/2026;09/02/2026;-107,40;;PAIEMENT CB IONOS SARL;32948,91
09/02/2026;09/02/2026;-19,20;;PAIEMENT CB MAILJET;32929,71
09/02/2026;09/02/2026;-27,40;;PAIEMENT CB 3MINUTESPIZZ;32902,31
09/02/2026;09/02/2026;-39,36;;PAIEMENT CB 3MINUTESPIZZ;32862,95
10/02/2026;10/02/2026;-11,64;;PRLV SEPA AMAZON EU SARL;32851,31
10/02/2026;10/02/2026;-117,00;;PRLV SEPA RESOTAINER;32734,31
10/02/2026;01/02/2026;-29,64;;FACT SGT26021250001117;32704,67
10/02/2026;11/02/2026;;1058,60;REMCB00059 NB0010 TPE279911801;33763,27
10/02/2026;11/02/2026;-4,24;;COMCB00059 NB0010 TPE279911801;33759,03
10/02/2026;10/02/2026;;221,01;VIR EDENRED FRANCE;33980,04
10/02/2026;10/02/2026;-284,59;;PAIEMENT CB ALMA;33695,45
11/02/2026;11/02/2026;-16,66;;PRLV SEPA DROPBOX;33678,79
11/02/2026;12/02/2026;;914,06;REMCB00045 NB0011 TPE279911801;34592,85
11/02/2026;12/02/2026;-3,66;;COMCB00045 NB0011 TPE279911801;34589,19
11/02/2026;11/02/2026;-146,95;;PRLV SEPA SAS POTION OF CREATIV;34442,24
11/02/2026;11/02/2026;-22,80;;PAIEMENT CB RINGOVER;34419,44
12/02/2026;12/02/2026;-10,60;;PRLV SEPA AMAZON PAYMENTS EUROP;34408,84
12/02/2026;12/02/2026;-44,36;;PRLV SEPA AMAZON PAYMENTS EUROP;34364,48
12/02/2026;13/02/2026;;605,94;REMCB00485 NB0007 TPE279911801;34970,42
12/02/2026;13/02/2026;-2,44;;COMCB00485 NB0007 TPE279911801;34967,98
12/02/2026;12/02/2026;;182,40;VIR INST FUNBOOKER;35150,38
13/02/2026;13/02/2026;-28,39;;PRLV SEPA AMAZON PAYMENTS EUROP;35121,99
13/02/2026;13/02/2026;-83,95;;PRLV SEPA FREE PRO;35038,04
13/02/2026;13/02/2026;-63,07;;PRLV SEPA WL ECOM SOLUTION FR;34974,97
13/02/2026;16/02/2026;;577,60;REMCB00401 NB0006 TPE279911801;35552,57
13/02/2026;16/02/2026;-2,31;;COMCB00401 NB0006 TPE279911801;35550,26
13/02/2026;13/02/2026;-500,00;;VIR INST BOEHME ALLAN;35050,26
13/02/2026;13/02/2026;;255,45;VIR PAYPAL PTE. LTD.;35305,71
13/02/2026;13/02/2026;-0,44;;FRAIS PAIE CB OP 5,00 USD;35305,27
13/02/2026;13/02/2026;-4,21;;PAIEMENT CB ELEVENLABS.IO;35301,06
13/02/2026;13/02/2026;-31,33;;PAIEMENT PSC RECADIS;35269,73
16/02/2026;16/02/2026;-10,80;;PRLV SEPA EDF;35258,93
16/02/2026;17/02/2026;;1238,50;REMCB00339 NB0012 TPE279911801;36497,43
16/02/2026;17/02/2026;;497,00;REMCB00325 NB0006 TPE279911801;36994,43
16/02/2026;17/02/2026;;1550,90;REMCB00029 NB0017 TPE279911801;38545,33
16/02/2026;17/02/2026;-6,23;;COMCB00029 NB0017 TPE279911801;38539,10
16/02/2026;17/02/2026;-2,00;;COMCB00325 NB0006 TPE279911801;38537,10
16/02/2026;17/02/2026;-4,95;;COMCB00339 NB0012 TPE279911801;38532,15
16/02/2026;16/02/2026;;149,83;VIR PAYPAL PTE. LTD.;38681,98
16/02/2026;16/02/2026;-65,38;;PAIEMENT CB STATION SERVICE;38616,60
16/02/2026;16/02/2026;-16,99;;PAIEMENT CB GOOGLE PLAY APPS;38599,61
16/02/2026;16/02/2026;-176,25;;PAIEMENT CB LEROY MERLIN;38423,36
16/02/2026;16/02/2026;-22,50;;PAIEMENT PSC FABRIQUE DE STYL;38400,86
17/02/2026;17/02/2026;-178,80;;PRLV SEPA SAS SKELLO;38222,06
17/02/2026;17/02/2026;-2096,00;;PRLV SEPA URSSAF DE NORMANDIE;36126,06
17/02/2026;18/02/2026;;552,00;REMCB00389 NB0009 TPE279911801;36678,06
17/02/2026;18/02/2026;-2,22;;COMCB00389 NB0009 TPE279911801;36675,84
17/02/2026;17/02/2026;;917,00;VIR PASS CULTURE;37592,84
17/02/2026;17/02/2026;-247,30;;PLAN SANTE SA1610170;37345,54
17/02/2026;17/02/2026;-68,33;;COMPLEMENTAIRE SANTE HG6572503;37277,21
17/02/2026;17/02/2026;-77,60;;AUTOMOBILE - PRO AA31273531;37199,61
17/02/2026;17/02/2026;-213,66;;PAIEMENT CB KLARNA* IROBOT;36985,95
17/02/2026;17/02/2026;-9,72;;PAIEMENT CB WIX.COM;36976,23
17/02/2026;17/02/2026;-76,06;;PAIEMENT CB MAGASIN U;36900,17
18/02/2026;18/02/2026;-58,74;;PRLV SEPA AMAZON PAYMENTS EUROP;36841,43
18/02/2026;19/02/2026;;831,75;REMCB00303 NB0011 TPE279911801;37673,18
18/02/2026;19/02/2026;-3,33;;COMCB00303 NB0011 TPE279911801;37669,85
18/02/2026;18/02/2026;-318,83;;VIR COTISATION AFDAS;37351,02
19/02/2026;20/02/2026;;1337,81;REMCB00169 NB0014 TPE279911801;38688,83
19/02/2026;20/02/2026;-5,37;;COMCB00169 NB0014 TPE279911801;38683,46
19/02/2026;19/02/2026;;163,20;VIR INST FUNBOOKER;38846,66
19/02/2026;19/02/2026;-13,55;;PAIEMENT PSC BURGER KING;38833,11
19/02/2026;19/02/2026;-264,00;;PAIEMENT CB NORMANDIE FEST;38569,11
19/02/2026;19/02/2026;-10,88;;PAIEMENT CB 3MINUTESPIZZ;38558,23
19/02/2026;19/02/2026;;98,24;VIR PAYPAL PTE. LTD.;38656,47
20/02/2026;20/02/2026;-28,69;;PRLV SEPA AMAZON EU SARL;38627,78
20/02/2026;20/02/2026;-753,00;;PRLV SEPA URSSAF DE NORMANDIE;37874,78
20/02/2026;23/02/2026;;1021,44;REMCB00105 NB0012 TPE279911801;38896,22
20/02/2026;23/02/2026;-4,10;;COMCB00105 NB0012 TPE279911801;38892,12
20/02/2026;20/02/2026;-0,86;;FRAIS PAIE CB OP 24,99 USD;38891,26
20/02/2026;20/02/2026;-21,17;;PAIEMENT CB GENSPARK.AI;38870,09
20/02/2026;20/02/2026;-21,12;;PAIEMENT CB 3MINUTESPIZZ;38848,97
20/02/2026;20/02/2026;-16,00;;PAIEMENT CB K2MI;38832,97
20/02/2026;20/02/2026;-30,42;;PAIEMENT PSC SARL SHONEN CORP;38802,55
23/02/2026;23/02/2026;-19,99;;PRLV SEPA AMAZON EU SARL;38782,56
23/02/2026;23/02/2026;-35,48;;PRLV SEPA AMAZON EU SARL;38747,08
23/02/2026;23/02/2026;-29,08;;PRLV SEPA AMAZON PAYMENTS EUROP;38718,00
23/02/2026;24/02/2026;;1122,42;REMCB00101 NB0016 TPE279911801;39840,42
23/02/2026;24/02/2026;;1193,00;REMCB00035 NB0013 TPE279911801;41033,42
23/02/2026;24/02/2026;;813,48;REMCB00067 NB0011 TPE279911801;41846,90
23/02/2026;24/02/2026;-3,26;;COMCB00067 NB0011 TPE279911801;41843,64
23/02/2026;24/02/2026;-4,78;;COMCB00035 NB0013 TPE279911801;41838,86
23/02/2026;24/02/2026;-4,50;;COMCB00101 NB0016 TPE279911801;41834,36
23/02/2026;23/02/2026;;72,15;VIR DRFIP ILE DE FRANCE ET D;41906,51
23/02/2026;23/02/2026;;359,58;VIR PAYPAL PTE. LTD.;42266,09
23/02/2026;23/02/2026;-63,19;;PAIEMENT CB UBER *EATS;42202,90
23/02/2026;23/02/2026;-10,88;;PAIEMENT CB 3MINUTESPIZZ;42192,02
23/02/2026;23/02/2026;-0,39;;FRAIS PAIE CB OP 2,99 USD;42191,63
23/02/2026;23/02/2026;-2,55;;PAIEMENT CB 42GEARS MOBILITY;42189,08
23/02/2026;23/02/2026;-10,88;;PAIEMENT CB 3MINUTESPIZZ;42178,20
24/02/2026;25/02/2026;;1256,30;REMCB00527 NB0018 TPE279911801;43434,50
24/02/2026;25/02/2026;-5,05;;COMCB00527 NB0018 TPE279911801;43429,45
24/02/2026;24/02/2026;;269,70;VIR CAP LOISIRS;43699,15
24/02/2026;24/02/2026;-23,99;;PAIEMENT CB CAPCUT;43675,16
24/02/2026;24/02/2026;-11,04;;PAIEMENT CB 3MINUTESPIZZ;43664,12
25/02/2026;25/02/2026;-4,99;;PRLV SEPA AMAZON PAYMENTS EUROP;43659,13
25/02/2026;25/02/2026;-6,66;;PRLV SEPA AMAZON PAYMENTS EUROP;43652,47
25/02/2026;25/02/2026;-8,59;;PRLV SEPA AMAZON PAYMENTS EUROP;43643,88
25/02/2026;25/02/2026;-902,75;;PRLV SEPA IN EXTENSO CAEN;42741,13
25/02/2026;25/02/2026;-109,83;;PRLV SEPA SPRE;42631,30
25/02/2026;26/02/2026;;1208,01;REMCB00131 NB0014 TPE279911801;43839,31
25/02/2026;26/02/2026;-4,85;;COMCB00131 NB0014 TPE279911801;43834,46
25/02/2026;25/02/2026;-2,99;;PAIEMENT CB GOOGLE ONE;43831,47
25/02/2026;25/02/2026;;153,27;VIR PAYPAL PTE. LTD.;43984,74
25/02/2026;25/02/2026;-610,13;;ECH PRET CAP+IN;43374,61
26/02/2026;26/02/2026;-11,98;;PRLV SEPA AMAZON EU SARL;43362,63
26/02/2026;26/02/2026;-24,16;;PRLV SEPA AMAZON PAYMENTS EUROP;43338,47
26/02/2026;26/02/2026;-128,06;;PRLV SEPA SACEM-SOC AUTEUR COMP;43210,41
26/02/2026;27/02/2026;;839,93;REMCB00323 NB0010 TPE279911801;44050,34
26/02/2026;27/02/2026;-3,38;;COMCB00323 NB0010 TPE279911801;44046,96
26/02/2026;26/02/2026;-15,16;;PAIEMENT PSC 4A45 CAEN IFS;44031,80
26/02/2026;26/02/2026;;224,17;VIR PAYPAL PTE. LTD.;44255,97
26/02/2026;26/02/2026;-211,00;;VIR SORTIE EQUIPE SANSAS;44044,97
27/02/2026;27/02/2026;-1030,80;;PRLV SEPA MIST NORMANDIE;43014,17
27/02/2026;27/02/2026;-16,54;;PRLV SEPA AMAZON PAYMENTS EUROP;42997,63
27/02/2026;02/03/2026;;540,17;REMCB00085 NB0007 TPE279911801;43537,80
27/02/2026;02/03/2026;-2,17;;COMCB00085 NB0007 TPE279911801;43535,63
27/02/2026;27/02/2026;;23,58;VIR PAYPAL PTE. LTD.;43559,21
